labels,notes,notes_len
0,32 41 39 41 39 32 53 58 56 53 58 56 53 58 56 51 58 56 51 58 56 51 58 56 51 54 53 54 56 53 58 56 53 58 56 53 58 56 51 58 56 51 58 56 51 58 56 51 54 53 54 56 41,53
0,42 54 39 51 37 49 35 47 37 49 44 56 42 54 42 54 42 54 44 56 45 57 47 59 42 54 40 52 45 57 42 54 45 57 47 59 45 57 40 52 40 42 43 45 47 39 42 40 39 40 42 44 42 44 46 47 46 47 49 51 49 51 54 59 44,65
0,42 46 46 42 44 46 46 49 44 42 44 44 46 39 39 44 44 46 42 44 49 44 46 44 46 51 49 51 49 47 46 44 42 46 47 46 47 46 41 42 44 42 41 42 39 39,46
0,57 57 57 55 53 57 55 48 60 50 52 53 53 45 53 52 50 53 43 52 57 52 40 41 43 45 46 50 48 53 55 52 48 50 46 45 43 41 38 45 43 41 39 37 36 41,46
0,39 48 46 46 43 44 39 48 46 46 48 46 44 43 47 46 44 41 44 46 44 45 46 48 51 53 56 59 60 63 63 63 61 60 59 58 56 53 51 48 46 44 41 39 41 37 47 46 39 39 39,51
0,41 42 41 34 41 42 41 34 41 42 41 39 41 44 46 44 39 44 46 44 39 44 46 44 39 44 46 44 39 49 47 46 44 37 44 42 34 41 44 42 34 41 42 41 34 41 42 41 34 30 42 30 42 30 42 32 44 30 34 46 34,61
0,36 39 36 39 36 39 32 36 36 39 32 36 36 39 36 39 32 36 36 42 36 39 36 39 32 36 36,27
0,44 56 44 56 46 58 37 49 39 51 37 49 39 51 46 58 44 56 44 56 42 49 44 46 46 49 49 46 51 44 49 46 51 49 54 46 51 44 49 54 61 51 58 49 56 46 54 46 51 44 49 46 51 44 56 46 58 42,58
0,34 34 32 34 32 34 32 34 37 39 37 39 32 32 32 32 37 37 34 37 39 41 37 37 37 34 32 34 34 32 34 37 34 32 34 34,36
0,54 42 44 46 51 49 49 35 37 39 46 44 54 42 44 46 51 53 49 46 44 42 42 46,24
0,35 37 40 42 44 47 49 47 49 52 49 47 47 49 44 42 44 47 42 42 44 47 52 49 49 52 49 52 49 47 47 47 42 44 42 44 42 40 28,39
0,38 36 40 40 41 41 40 38 36 40 40 41 41 40 38 36 38 36 38 40 41 40 48 47 38 48 50 36 52 53 55 40 52 41 53 43 55 47 59 48 60 47 59 43 55 41 53 40 52 38 50 40 52 33 45 33 45 38 50 38 50 40 52 40 52 41 53 31 43 38 50 40 52 41 53 40 52 38 50 36 48 31 36 31,84
0,37 40 42 40 31 38 36 35 31 32 33 35 36 38 35 36 38 40 43 41 48 47 43 41 48 47 45 44 37,29
0,50 52 52 50 52 52 52 54 52 50 47 52 54 52 50 47 47 50 52 52 50 52 52 52 54 52 50 47 35 47 38 50 40 52 40 52 38 50 40 52 40 52 40 52 42 54 40 52 38 50 40 52 40 52 42 54 40 52 38 50 35 47 31 43 33 45 35 47 33 45 35 47 33 45 42 54 38 50 40 52 43,81
0,35 34 30 30 34 35 34 32 39,9
0,36 38 40 41 38,5
0,30 30 33 35 33 30 28 26 23 26 31 30 28 26 28 30 33 30 33 35 37 38 37 35 33 28 30 28 30 31 30 28 25 26 26 33,36
0,43 41 39 36 36 36 39 43 41 41 43 41 39 41 41 39 38 38 36 34 29 31 31 34 31 29 31 36 43 41 43 39 41 41 43 36 39 41 38 36 34 31 34 36 55 53 51 48 51 53 58 36 55,53
